selts_lk	selts_ek	sugukond_lk	sugukond_ek	nimi_lk	nimi_ek	nimi_ik
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter chionogaster, Accipiter striatus chionogaster	valgekõht-raudkull	White-breasted Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter erythronemius, Accipiter striatus erythronemius	brasiilia raudkull	Rufous-thighed Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter madagascariensis	madagaskari raudkull	Madagascar Sparrowhawk, Madagascan Sparrowhawk, Madagascar Sparrow Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter nisus	raudkull (harilik raudkull)	Eurasian Sparrowhawk, Northern Sparrow Hawk, Northern Sparrowhawk, Sparrowhawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter ovampensis	savanni-raudkull	Ovambo Sparrowhawk, Ovampo Sparrow Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter poliogaster	selvakull	Grey-bellied Hawk, Grey-bellied Goshawk, Gray-bellied Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter rufiventris	mägi-raudkull	Rufous-breasted Sparrowhawk, Rufous-breasted Sparrow Hawk, Rufous-chested Sparrowhawk, Red-breasted Sparrowhawk, Rufous Sparrowhawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter striatus	ameerika raudkull	Sharp-shinned Hawk, Sharpshin, Sharpie, Little Blue Darter
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Accipiter ventralis, Accipiter striatus ventralis	nõlva-raudkull	Plain-breasted Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aegypius monachus	raisakotkas	Cinereous Vulture, Eurasian Black Vulture, European Black Vulture, Black Vulture, Monk Vulture
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aerospiza castanilius, Accipiter castanilius, Accipiter castanilus	punakülg-raudkull	Chestnut-flanked Sparrowhawk, Chestnut-bellied Sparrow Hawk, Chestnut-flanked Goshawk, Chestnut-bellied Sparrowhawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aerospiza tachiro macroscelides, Accipiter toussenelii macroscelides, Accipiter tachiro macroscelides	ginea raudkull	West African Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aerospiza tachiro toussenelii, Accipiter toussenelii	redu-raudkull	Red-chested Goshawk, West African Goshawk*
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aerospiza tachiro, Accipiter tachiro	ao-raudkull	African Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila adalberti	ibeeria kääpakotkas	Spanish Imperial Eagle, Adalbert's Imperial Eagle, White-shouldered Eagle, Adalbert's Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila africana, Spizaetus africanus, Hieraaetus africanus	kongo kotkas	Cassin's Hawk-eagle, Cassin's Hawk Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila audax, Uroaetus audax	kiilsaba-kotkas	Wedge-tailed Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila chrysaetos	kaljukotkas (maakotkas)	Golden Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila fasciata, Hieraaetus fasciatus	haugaskotkas	Bonelli's Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila gurneyi, Spizaetus gurneyi	paapua kotkas	Gurney's Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila heliaca	kääpakotkas	Eastern Imperial Eagle, Imperial Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila nipalensis	stepikotkas	Steppe Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila nipalensis nipalensis, Aquila nipalensis (s. str.)	kõnnukotkas	Eastern Steppe Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila nipalensis orientalis, Aquila orientalis	stepikotkas	Western Steppe Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila rapax	savannikotkas	Tawny Eagle, Tawny Eagle and Steppe Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila rapax vindhiana, Aquila vindhiana	india kotkas	Indian Tawny Eagle, Eurasian Tawny Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila spilogaster, Hieraaetus spilogaster	aafrika haugaskotkas	African Hawk-eagle, African Hawk Eagle, African Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aquila verreauxii	mustkotkas	Verreaux's Eagle, African Black Eagle, Black Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur atricapillus, Accipiter gentilis atricapillus, Accipiter atricapillus	ameerika kanakull	American Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur bicolor, Accipiter bicolor	väike-tanukull	Bicolored Hawk, Bicoloured Hawk, Bicoloured Sparrow Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur chilensis, Accipiter bicolor chilensis, Accipiter chilensis	tšiili tanukull	Chilean Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur cooperii, Accipiter cooperii	põhja-tanukull	Cooper's Hawk, Big Blue Darter, Chicken Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur gentilis buteoides, Accipiter gentilis buteoides	põhja-kanakull	Northern Northern Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur gentilis, Accipiter gentilis	kanakull (harilik kanakull)	Eurasian Goshawk, Northern Goshawk, Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur gundlachi, Accipiter gundlachi, [Accipiter gundlachii]	kuuba tanukull	Gundlach's Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur henstii, Accipiter henstii	madagaskari kanakull	Henst's Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur melanoleucus, Accipiter melanoleucus	pugal-kanakull	Black Sparrowhawk, Great Sparrow Hawk, Great Sparrowhawk, Black Goshawk, Pied Goshawk, Black-and-white Sparrowhawk, Black-and-white Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Astur meyerianus, Accipiter meyerianus	paapua kanakull	Meyer's Goshawk, Papuan Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aviceda cuculoides	aafrika tutthaugas	African Cuckoo-hawk, African Cuckoo Hawk, African Cuckoo Falcon, Cuckoo Falcon, African Baza
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aviceda jerdoni	pruun-tutthaugas	Jerdon's Baza, Blyth's Baza, Legge's Baza, Crested Baza, Brown Lizard Hawk, Crested Lizard Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aviceda leuphotes, Baza leuphotes	must-tutthaugas	Black Baza, Black-crested Baza, Black-crested Lizard Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aviceda madagascariensis	madagaskari tutthaugas	Madagascar Cuckoo-hawk, Madagascan Cuckoo-hawk, Madagascar Cuckoo Falcon, Madagascar Cuckoo-falcon, Madagascar Baza
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Aviceda subcristata	lõuna-tutthaugas	Pacific Baza, Crested Baza, Lizard Baza, Crested Hawk, Lizard Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Bermuteo avivorus	bermuda viu (†)	Bermuda Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Busarellus nigricollis	kalaviu	Black-collared Hawk, Collared Fishing Hawk, Collared Fishing Buzzard, Chestnut Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Butastur indicus	hallpea-haugasviu	Grey-faced Buzzard, Grey-faced Buzzard-Eagle, Frog Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Butastur liventer	kagu-haugasviu	Rufous-winged Buzzard, Rufous-winged Buzzard-Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Butastur rufipennis	tirtsu-haugasviu	Grasshopper Buzzard, Grasshopper Buzzard-Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Butastur teesa	india haugasviu	White-eyed Buzzard, White-eyed Buzzard-Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo albigula	andi viu	White-throated Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo albonotatus	mustviu	Zone-tailed Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo augur	kiltmaa-viu	Augur Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo augur archeri, Buteo archeri	somaali viu	Archer's Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo auguralis	palmiviu	Red-necked Buzzard, African Red-tailed Buzzard, Red-tailed Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo bannermani, Buteo buteo bannermani	kapverdi hiireviu	Cape Verde Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo brachypterus	madagaskari viu	Madagascar Buzzard, Madagascan Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo brachyurus	linnuviu	Short-tailed Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo buteo	hiireviu	Common Buzzard, Eurasian Buzzard, Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo buteo buteo	lääne-hiireviu	Eurasian Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo buteo vulpinus, Buteo intermedius	hiireviu	Steppe Buzzard, Western Steppe Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo galapagoensis	galápagose viu	Galapagos Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo hemilasius	ida-stepiviu	Upland Buzzard, Mongolian Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo jamaicensis	punasaba-viu	Red-tailed Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo japonicus, Buteo buteo japonicus	ida-hiireviu	Eastern Buzzard, Japanese Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo lagopus	karvasjalg-viu (taliviu)	Rough-legged Buzzard, Rough-legged Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo lineatus, Asturina lineatus	kirjuviu	Red-shouldered Hawk, Red-shouldered Buzzard, Red-bellied Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo nitidus, Asturina nitida, Buteo nitidus nitidus, Buteo nitidus	hallviu	Grey-lined Hawk, Grey Hawk*, Gray Hawk*, Shining Buzzard-hawk, Shining Buzzard Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo oreophilus, Buteo tachardus	tähnikviu	Mountain Buzzard, African Mountain Buzzard, Forest Buzzard*, Woodland Buzzard, African Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo plagiatus, Buteo nitidus plagiatus, Buteo nitidus plagiata, Buteo plagiata, Asturina plagiata	mehhiko hallviu	Grey Hawk, Mexican Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo platypterus	laitiib-viu	Broad-winged Hawk, Broadwing
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo refectus, Buteo buteo refectus, Buteo burmanicus	himaalaja viu	Himalayan Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo regalis, Triorchis regalis, Archibuteo regalis	kuningviu	Ferruginous Hawk, Ferruginous Roughleg
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo ridgwayi	haiti viu	Ridgway's Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo rufinus, Buteo ferox	stepiviu	Long-legged Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo rufofuscus	kiritiib-viu	Jackal Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo socotraensis	sokotra viu	Socotra Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo solitarius	havai viu	Hawaiian Hawk, Io
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo swainsoni, Buteo swainsonii	preeriaviu	Swainson's Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo trizonatus, Buteo oreophilus trizonatus	lõuna-tähnikviu	Forest Buzzard, Rudebeck's Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteo ventralis	patagoonia viu	Rufous-tailed Hawk, Red-tailed Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteogallus aequinoctialis	krabiviu	Rufous Crab Hawk, Rufous Crab-hawk, Rufous Hawk, Aequinoctial Crab-hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteogallus anthracinus	kaldaviu	Common Black Hawk, Common Black-Hawk, Lesser Black Hawk, Black Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteogallus anthracinus subtilis, Buteogallus subtilis	mangrooviviu	Mangrove Black Hawk, Mangrove Black-Hawk, Pacifivc Black Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteogallus coronatus, Harpyhaliaetus coronatus	hall-hiidviu	Chaco Eagle, Crowned Solitary Eagle, Crowned Eagle, Solitary Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteogallus gundlachii, Buteogallus anthracinus gundlachii	kuuba kaldaviu	Cuban Black Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteogallus lacernulatus, Leucopternis lacernulata, Leucopternis lacernulatus	ranniku-selvaviu	White-necked Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteogallus meridionalis, Heterospizias meridionalis	ruugeviu	Savanna Hawk, Savannah Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteogallus schistaceus, Leucopternis schistacea, Leucopternis schistaceus, Buteogallus schistacea	hall-selvaviu	Slate-coloured Hawk, Slate-colored Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteogallus solitarius, Harpyhaliaetus solitarius	tõmmu-hiidviu	Solitary Eagle, Black Solitary Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Buteogallus urubitinga	sooviu	Great Black Hawk, Great Black-Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Chelictinia riocourii, Elanus riocourii	sirehaugas	Scissor-tailed Kite, African Swallow-tailed Kite, Swallow-tailed Kite, Fork-tailed Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Chondrohierax uncinatus, Chondrohierax megarhynchus	konksnokk-haugas	Hook-billed Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Chondrohierax wilsonii, Chondrohierax uncinatus wilsonii	kuuba haugas	Cuban Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circaetus beaudouini	saheli madukotkas	Beaudouin's Snake Eagle, Beaudouin's Snake-eagle, Beaudouin's Harrier-eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circaetus cinerascens	jõgi-madukotkas	Western Banded Snake Eagle, Western Banded Snake-eagle, Banded Snake-Eagle, Smaller Banded Snake Eagle, Banded Harrier-eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circaetus cinereus	tõmmu-madukotkas	Brown Snake Eagle, Brown Snake-eagle, Brown Harrier-eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circaetus fasciolatus	rand-madukotkas	Southern Banded Snake Eagle, Southern Banded Snake-eagle, Fasciated Snake-eagle, Fasciolated Snake-eagle, East-African Snake-eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circaetus gallicus, Circaetus ferox	madukotkas	Short-toed Snake Eagle, Short-toed Snake-eagle, Short-toed Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circaetus pectoralis	hulgu-madukotkas	Black-chested Snake Eagle, Black-chested Snake-eagle, Black-breasted Snake-eagle, Black-breasted Snake Eagle, Black-breasted Harrier-eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circaetus spectabilis, Dryotriorchis spectabilis	aafrika maduhaugas	Congo Serpent Eagle, Congo Serpent-eagle, African Serpent-eagle 
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus aeruginosus	roo-loorkull	Western Marsh Harrier, Western Marsh-harrier, Marsh Harrier, Eurasian Marsh-harrier, Eurasian Marsh Harrier 
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus approximans	lõuna-loorkull	Swamp Harrier, Pacific Marsh-harrier, Pacific Marsh Harrier, Australasian Harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus assimilis	puis-loorkull	Spotted Harrier, Jardine's Harrier, Allied Harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus buffoni	pale-loorkull	Long-winged Harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus cinereus	vööt-loorkull	Cinereous Harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus cyaneus	välja-loorkull	Hen Harrier, Northern Harrier, Marsh Hawk*
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus eylesi	 (†)	Eyles' Harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus hudsonius, Circus cyaneus hudsonius	ameerika loorkull	Northern Harrier, American Harrier, Marsh Hawk*
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus macrosceles, Circus maillardi macrosceles	madagaskari loorkull	Malagasy Harrier, Malagasy Marsh Harrier, Madagascar Marsh-harrier, Malagasy Marsh-harrier, Madagascar Harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus macrourus	stepi-loorkull	Pallid Harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus maillardi	nõlva-loorkull	Reunion Harrier, Reunion Marsh-harrier, Réunion Harrier, [Madagascar Marsh-harrier]*, [Malagasy Marsh-harrier]*, [Malagasy Marsh Harrier]*, [Madagascar Harrier]*
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus maurus	must-loorkull	Black Harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus melanoleucos, Circus melanoleucus	pugal-loorkull	Pied Harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus pygargus	soo-loorkull	Montagu's Harrier, Montague's Harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus ranivorus	aafrika loorkull	African Marsh Harrier, African Marsh-harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus spilonotus	ida-loorkull	Eastern Marsh Harrier, Eastern Marsh-harrier, Spotted Marsh-harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Circus spilothorax, Circus spilonotus spilothorax	paapua loorkull	Papuan Harrier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Clanga clanga, Aquila clanga	suur-konnakotkas	Greater Spotted Eagle, Spotted Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Clanga hastata, Aquila pomarina hastata, Aquila hastata	lõuna-konnakotkas	Indian Spotted Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Clanga pomarina, Aquila pomarina	väike-konnakotkas	Lesser Spotted Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Cryptoleucopteryx plumbea, Leucopternis plumbea, Leucopternis plumbeus	peegeltiib-selvaviu	Plumbeous Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Elanoides forficatus	pääsuhaugas	Swallow-tailed Kite, American Swallow-tailed Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Elanus axillaris, [Elanus notatus]	austraalia hõbehaugas	Black-shouldered Kite, Australian Black-shouldered Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Elanus caeruleus	hõbehaugas	Black-winged Kite, Common Black-shouldered Kite, Black-shouldered Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Elanus leucurus	ameerika hõbehaugas	White-tailed Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Elanus scriptus	öö-hõbehaugas	Letter-winged Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Erythrotriorchis buergersi, Accipiter buergersi	punaõlg-kull	Chestnut-shouldered Goshawk, Bürgers' Goshawk, Buergers' Goshawk, Bürgers' Sparrowhawk, Buergers' Sparrowhawk, Chestnut-shouldered Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Erythrotriorchis radiatus, Accipiter radiatus	ruskekull	Red Goshawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Eutriorchis astur	vööthaugas	Madagascar Serpent Eagle, Madagascar Serpent-eagle, Madagascan Serpent Eagle, Long-tailed Serpent-eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Gampsonyx swainsonii	pisihaugas	Pearl Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Geranoaetus abicaudatus, Buteo albicaudatus	valgesaba-viu	White-tailed Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Geranoaetus melanoleucus, Buteo melanoleucus, Buteo fuscescens	kotkasviu	Black-chested Buzzard-eagle, Black-chested Buzzard Eagle, Black Buzzard-eagle, Grey Buzzard-eagle, Black Eagle, Grey Eagle, Black Eagle-buzzard, Grey Eagle-buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Geranoaetus polyosoma poecilochrous, Buteo poecilochrous	puunaviu	Puna Hawk, Variable Hawk*, Gurney's Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Geranoaetus polyosoma, Buteo polyosoma	mägiviu	Varuable Hawk, Red-backed Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Geranospiza caerulescens, Ischnosceles caerulescens	väänjalg-viu	Crane Hawk, Crane-Hawk
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Gypaetus barbatus	habekotkas	Bearded Vulture, Lammergeier
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Gypohierax angolensis	palmikotkas	Palm-nut Vulture, Vulturine Fish-eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Gyps africanus, Pseudogyps africanus	savanni-kaeluskotkas	White-backed Vulture, African White-backed Vulture, White-backed Griffon Vulture
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Gyps bengalensis, Pseudogyps bengalensis	valgeselg-kaeluskotkas	White-rumped Vulture, Indian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture*
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Gyps coprotheres	hele-kaeluskotkas	Cape Vulture, Cape Griffon, Kolbe's Vulture
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Gyps fulvus	kaeluskotkas	Griffon Vulture, Eurasian Griffon, Eurasian Griffon Vulture
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Gyps himalayensis	kumai-kaeluskotkas	Himalayan Griffon, Himalayan Griffon Vulture
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Gyps indicus	sale-kaeluskotkas	Indian Vulture, Long-billed Vulture, Long-billed Griffon, Indian Griffon
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Gyps rueppelli, Gyps rueppellii	kõnnu-kaeluskotkas	Rüppell's Vulture, Rüppell's Griffon, Ruppell's Griffon
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Gyps tenuirostris, Gyps indicus tenuirostris	tumepea-kaeluskotkas	Slender-billed Vulture
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Haliaeetus albicilla	merikotkas (harilik merikotkas)	White-tailed Eagle, White-tailed Sea-eagle, White-tailed Sea Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Haliaeetus leucocephalus	valgepea-merikotkas	Bald Eagle, American Bald Eagle, American Eagle, White-headed Sea-eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Haliaeetus leucoryphus	vöötsaba-merikotkas	Pallas's Fish Eagle, Pallas's Fish-eagle, Pallas' Sea Eagle, Pallas's Sea-eagle, Ring-tailed Fishing-eagle, Band-tailed Fishing-eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Haliaeetus pelagicus	hiid-merikotkas	Steller's Sea Eagle, Steller's Sea-eagle, White-shouldered Sea-eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Haliastur indus, Milvus indus	valgepea-purihaugas	Brahminy Kite, Red-backed Sea Eagle, White-headed Sea Eagle, Red-backed Kite, Whistling Eagle*
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Haliastur sphenurus, Milvus sphenurus	vile-purihaugas	Whistling Kite, Whistling Hawk, Whistling Eagle*
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Hamirostra melanosternon	suurhaugas	Black-breasted Buzzard, Black-breasted Buzzard Kite, Black-breasted Buzzard-kite, Black-breasted Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Harpagornis moorei	 (†)	Haast Eagle, Haast's Eagle, New Zealand Eagle, Pouakai
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Harpagus bidentatus	ruske-hammashaugas	Double-toothed Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Harpagus diodon	hall-hammashaugas	Rufous-thighed Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Harpia harpyja	harpüia (harpüiakotkas)	Harpy Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Harpyopsis novaeguineae	käharkotkas	Papuan Eagle, New Guinea Eagle, Papuan Harpy Eagle, New Guinea Harpy Eagle, Kapul Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Helicolestes hamatus, Rostrhamus hamatus	jõgi-teohaugas	Slender-billed Kite
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Henicopernis infuscatus, Henicopernis infuscata	tõmmu-herilaseviu	Black Honey Buzzard, Black Honey-buzzard, New Britain Buzzard, New Britain Honey Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Henicopernis longicauda	paapua herilaseviu	Long-tailed Honey Buzzard, Long-tailed Honey-buzzard, Long-tailed Buzzard
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Hieraaetus ayresii	aafrika kääbuskotkas	Ayres's Hawk-eagle, Ayre's Hawk Eagle, Ayres's Eagle
Accipitriformes	haukalised (kullilised)	Accipitridae	haugaslased	Hieraaetus morphnoides, Aquila morphnoides	austraalia kääbuskotkas	Little Eagle
