selts_lk	selts_ek	sugukond_lk	sugukond_ek	nimi_lk	nimi_ek	nimi_ik
Piciformes	rähnilised	Picidae	rähnlased	Picus chlorolophus, Cirrhopicus chlorolophus	punakulm-roherähn	Lesser Yellownape, Lesser Yellow-naped Woodpecker, Small Yellow-naped Woodpecker
Piciformes	rähnilised	Picidae	rähnlased	Picus erythropygius	kuldpugu-roherähn	Black-headed Woodpecker
Piciformes	rähnilised	Picidae	rähnlased	Picus guerini, Picus canus guerini		Black-naped Woodpecker
Piciformes	rähnilised	Picidae	rähnlased	Picus puniceus, Cirrhopicus puniceus	võra-roherähn	Crimson-winged Woodpecker, Crimson-winged Yellownape
Piciformes	rähnilised	Picidae	rähnlased	Picus rabieri	punakael-roherähn	Red-collared Woodpecker, Rabier's Woodpecker
Piciformes	rähnilised	Picidae	rähnlased	Picus sharpei, Picus viridis sharpei	ibeeria roherähn (ibeeria meltsas)	Iberian Green Woodpecker, Iberian Woodpecker
Piciformes	rähnilised	Picidae	rähnlased	Picus squamatus	mägi-roherähn	Scaly-bellied Woodpecker, Common Scaly-bellied Woodpecker, Large Scaly-bellied Woodpecker, Scaly-bellied Green Woodpecker, Great Scaly Woodpecker
Piciformes	rähnilised	Picidae	rähnlased	Picus vaillantii, Picus viridis vaillantii	aafrika roherähn (aafrika meltsas)	Levaillant's Woodpecker, Maghreb Green Woodpecker, Levaillant's Green Woodpecker, Algerian Green Woodpecker, Algerian Woodpecker, North African Green Woodpecker
Piciformes	rähnilised	Picidae	rähnlased	Picus viridanus	birma roherähn	Streak-breasted Woodpecker, Small Scaly-bellied Woodpecker*, Small Scaly-bellied Green Woodpecker*, Burmese Scaly-bellied Green Woodpecker, Little Scaly-bellied Woodpecker*, Little Scaly-bellied Green Woodpecker
Piciformes	rähnilised	Picidae	rähnlased	Picus viridis	roherähn (meltsas)	European Green Woodpecker, Eurasian Green Woodpecker, Green Woodpecker
Piciformes	rähnilised	Picidae	rähnlased	Picus vittatus	palmi-roherähn	Laced Woodpecker, Laced Green Woodpecker, Small Scaly-bellied Woodpecker*, Small Scaly-bellied Green Woodpecker*
Piciformes	rähnilised	Picidae	rähnlased	Picus xanthopygaeus, [Picus myrmecophoneus]	kirikõht-roherähn	Streak-throated Woodpecker, Little Scaly-bellied Woodpecker*, Little Scaly-bellied Green Woodpecker
Piciformes	rähnilised	Picidae	rähnlased	Sasia abnormis	püharähnak	Rufous Piculet
Piciformes	rähnilised	Picidae	rähnlased	Sasia ochracea	rebasrähnak	White-browed Piculet
